reporting,partner,partner type,year,import,export,total,currency,source
UnitedKingdom,Worldestimated,,1828,50800000,36800000,87600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1828,57300000,,57300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1828,50800000,36800000,87600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1829,47784030.9532184,36014069.6447415,83798100.5979599,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1829,47500000,35800000,83300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1829,54100000,,54100000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1829,47500000,35800000,83300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,WorldFedericoTena,,1830,50327480.5631435,38320924.563984,88648405.1271275,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldestimated,,1830,50300000,38300000,88600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldundefined,,1830,55900000,,55900000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Worldbestguess,,1830,50300000,38300000,88600000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
UnitedKingdom,Algeria_Morocco_LibyaTripolitaniaCyrenaicaFezzan_Tunisia,,1831,,426,426,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Antillesother_Cuba,,1831,,663531,663531,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Australia,,1831,,398471,398471,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,AzoresWesternIsles,,1831,,41638,41638,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,BalearicIslands_Spain,,1831,,597848,597848,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Belgium_Netherlands,,1831,,28082536,28082536,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Brazil,,1831,,1238371,1238371,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,BritishNorthAmerica,,1831,,2089327,2089327,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,BritishVirginIs.,,1831,,2581949,2581949,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,CanaryIs.,,1831,,33282,33282,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,CapeColony,,1831,,237245,237245,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
