"reporting","partner","partner type","year","import","export","total","currency","source"
"France","St.PierreandMiquelon",,1857,20100000,6100000,26200000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Sweden",,1857,13100000,2500000,15600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Switzerland",,1857,46200000,87800000,134000000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Turkey",,1857,104000000,52400000,156400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","UnitedKingdom_BritishMediterranean",,1857,321600000,386700000,708300000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","UnitedStatesofAmerica",,1857,188700000,257900000,446600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Uruguay",,1857,4800000,11100000,15900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Venezuela",,1857,4500000,6500000,11000000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","ViceroyaltyofLaPlata",,1857,13200000,27000000,40200000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","VirginIslands",,1857,400000,8200000,8600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","WestAfrica",,1857,11700000,1700000,13400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","WorldFedericoTena",,1857,"370535222.578983","372046741.189995","742581963.768978","us dollar","FEDERICO-TENA"
"France","Worldasreported",,1857,1872900000,1865800000,3738700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Worldsumpartners",,1857,1872600000,1865800000,3738400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Worldbestguess",,1857,1872900000,1865800000,3738700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Germany",,1857,,,,"french franc",
"France","UnitedKingdom",,1857,,,,"french franc",
"France","Othercountries",,1857,,,,"french franc",
"France","Africaother",,1858,1400000,300000,1700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
