
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="Nord # Sugar # year",="",="-0.0904***",="-0.0874***",="",="-0.0835***",="-0.0823***"
="",="",="(-3.70)",="(-3.57)",="",="(-3.36)",="(-3.31)"

="Nord # Wine # year",="",="-0.00325",="-0.0000612",="",="0.00531",="0.00322"
="",="",="(-0.13)",="(-0.00)",="",="(0.22)",="(0.13)"

="Portugal # Coffee # year",="",="-0.0329",="-0.0415",="",="-0.0657*",="-0.0639*"
="",="",="(-1.30)",="(-1.64)",="",="(-2.57)",="(-2.50)"

="Portugal # Eau de vie # year",="",="-0.0167",="-0.0215",="",="-0.0337",="-0.0315"
="",="",="(-0.67)",="(-0.85)",="",="(-1.33)",="(-1.24)"

="Portugal # Other # year",="",="0.0319",="0.0235",="",="0.00977",="0.00849"
="",="",="(1.28)",="(0.94)",="",="(0.39)",="(0.34)"

="Portugal # Sugar # year",="",="-0.0397",="-0.0485",="",="-0.0680**",="-0.0667**"
="",="",="(-1.57)",="(-1.91)",="",="(-2.66)",="(-2.60)"

="Portugal # Wine # year",="",="-0.0230",="-0.0309",="",="-0.0456",="-0.0473"
="",="",="(-0.93)",="(-1.24)",="",="(-1.81)",="(-1.88)"

="Suisse # Coffee # year",="",="-0.0341",="-0.0311",="",="-0.0299",="-0.0281"
="",="",="(-1.37)",="(-1.25)",="",="(-1.18)",="(-1.11)"

="Suisse # Eau de vie # year",="",="0.0166",="0.0194",="",="0.0350",="0.0352"
="",="",="(0.69)",="(0.80)",="",="(1.42)",="(1.43)"

="Suisse # Other # year",="",="0.0110",="0.0138",="",="0.0229",="0.0216"
="",="",="(0.45)",="(0.57)",="",="(0.93)",="(0.88)"

="Suisse # Sugar # year",="",="-0.103***",="-0.0999***",="",="-0.0930***",="-0.0917***"
="",="",="(-4.14)",="(-4.00)",="",="(-3.67)",="(-3.62)"

="Suisse # Wine # year",="",="0.0290",="0.0318",="",="0.0400",="0.0379"
="",="",="(1.20)",="(1.31)",="",="(1.63)",="(1.54)"

="États-Unis d'Amérique # Coffee # year",="",="0.248*",="0.252*",="",="0.231*",="0.244*"
="",="",="(2.31)",="(2.34)",="",="(2.13)",="(2.25)"

="États-Unis d'Amérique # Eau de vie # year",="",="0.211*",="0.216*",="",="0.199*",="0.207*"
="",="",="(2.16)",="(2.20)",="",="(2.02)",="(2.10)"

="États-Unis d'Amérique # Other # year",="",="0.110",="0.114",="",="0.0743",="0.0722"
="",="",="(1.12)",="(1.17)",="",="(0.75)",="(0.73)"

="États-Unis d'Amérique # Sugar # year",="",="0.249*",="0.254*",="",="0.266**",="0.269**"
="",="",="(2.44)",="(2.49)",="",="(2.59)",="(2.62)"

="États-Unis d'Amérique # Wine # year",="",="0.489***",="0.493***",="",="0.457***",="0.455***"
="",="",="(4.99)",="(5.03)",="",="(4.63)",="(4.61)"

="Coffee # 0",="",="",="",="0",="0",="0"
="",="",="",="",="(.)",="(.)",="(.)"

="Coffee # Blockade",="",="",="",="-1.460*",="-5.922***",="-1.947*"
="",="",="",="",="(-2.12)",="(-3.86)",="(-2.00)"

="Coffee # Mercantilist_War",="",="",="",="0.221",="0.594",="1.258*"
="",="",="",="",="(0.62)",="(0.76)",="(2.30)"

="Eau de vie # 0",="",="",="",="0",="-451.3*",="-462.7*"
="",="",="",="",="(.)",="(-2.46)",="(-2.52)"

="Eau de vie # Blockade",="",="",="",="0.207",="-459.6*",="-466.9*"
="",="",="",="",="(0.30)",="(-2.50)",="(-2.54)"

="Eau de vie # Mercantilist_War",="",="",="",="-0.532",="-451.4*",="-462.7*"
="",="",="",="",="(-1.50)",="(-2.46)",="(-2.52)"

="Other # 0",="",="",="",="0",="-210.5",="-203.6"
="",="",="",="",="(.)",="(-1.15)",="(-1.11)"

="Other # Blockade",="",="",="",="-0.0338",="-214.1",="-205.9"
="",="",="",="",="(-0.05)",="(-1.17)",="(-1.12)"

="Other # Mercantilist_War",="",="",="",="-0.0234",="-210.1",="-204.0"
="",="",="",="",="(-0.07)",="(-1.15)",="(-1.11)"

="Sugar # 0",="",="",="",="0",="-573.7**",="-576.7**"
="",="",="",="",="(.)",="(-3.01)",="(-3.02)"

="Sugar # Blockade",="",="",="",="-0.987",="-577.0**",="-580.1**"
="",="",="",="",="(-1.44)",="(-3.03)",="(-3.04)"

="Sugar # Mercantilist_War",="",="",="",="-0.181",="-572.9**",="-575.2**"
="",="",="",="",="(-0.51)",="(-3.01)",="(-3.02)"

="Wine # 0",="",="",="",="0",="-912.3***",="-905.6***"
="",="",="",="",="(.)",="(-4.97)",="(-4.93)"

="Wine # Blockade",="",="",="",="-0.0258",="-917.2***",="-907.7***"
="",="",="",="",="(-0.04)",="(-5.00)",="(-4.94)"

="Wine # Mercantilist_War",="",="",="",="-0.222",="-911.1***",="-905.7***"
="",="",="",="",="(-0.63)",="(-4.97)",="(-4.93)"

="Coffee # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Coffee # Blockade # year_of_war",="",="",="",="0.0370",="1.144***",=""
="",="",="",="",="(0.24)",="(3.41)",=""

="Coffee # Mercantilist_War # year_of_war",="",="",="",="-0.0309",="0.221",=""
="",="",="",="",="(-0.37)",="(1.20)",=""

="Eau de vie # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Eau de vie # Blockade # year_of_war",="",="",="",="-0.0804",="1.107**",=""
="",="",="",="",="(-0.52)",="(3.28)",=""

="Eau de vie # Mercantilist_War # year_of_war",="",="",="",="0.0359",="-0.000316",=""
="",="",="",="",="(0.43)",="(-0.00)",=""

="Other # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Other # Blockade # year_of_war",="",="",="",="-0.00685",="0.379",=""
="",="",="",="",="(-0.04)",="(1.16)",=""

="Other # Mercantilist_War # year_of_war",="",="",="",="-0.00936",="-0.259",=""
="",="",="",="",="(-0.11)",="(-1.45)",=""

="Sugar # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Sugar # Blockade # year_of_war",="",="",="",="0.0546",="-0.0290",=""
="",="",="",="",="(0.36)",="(-0.09)",=""

="Sugar # Mercantilist_War # year_of_war",="",="",="",="0.0423",="0.214",=""
="",="",="",="",="(0.51)",="(1.17)",=""

="Wine # 0 # year_of_war",="",="",="",="0",="0",=""
="",="",="",="",="(.)",="(.)",=""

="Wine # Blockade # year_of_war",="",="",="",="0.0300",="0.777*",=""
="",="",="",="",="(0.20)",="(2.34)",=""

="Wine # Mercantilist_War # year_of_war",="",="",="",="0.00347",="-0.411*",=""
="",="",="",="",="(0.04)",="(-2.26)",=""

="Coffee",="",="",="",="0",="",=""
="",="",="",="",="(.)",="",=""

="Eau de vie",="",="",="",="40.07***",="",=""
="",="",="",="",="(3.89)",="",=""

="Other",="",="",="",="28.53**",="",=""
="",="",="",="",="(2.77)",="",=""

="Sugar",="",="",="",="56.31***",="",=""
="",="",="",="",="(5.46)",="",=""

="Wine",="",="",="",="31.03**",="",=""
="",="",="",="",="(3.01)",="",=""

="Coffee # year",="",="",="",="0.0239***",="",=""
="",="",="",="",="(5.67)",="",=""

="Eau de vie # year",="",="",="",="0.00156",="",=""
="",="",="",="",="(0.38)",="",=""

="Other # year",="",="",="",="0.00982*",="",=""
="",="",="",="",="(2.41)",="",=""

